id;competitor;region;published_at;media_name;url;title;text;category;priority;tonality;department;action;comment;reject
0;КвантМайнд;Москва;2026-06-01;РБК;https://www.rbc.ru/news/rospotrebnadzor-oshtrafoval-kvantmaind-za-0;Роспотребнадзор оштрафовал «КвантМайнд» за недостоверную рекламу чат-бота;Территориальное управление Роспотребнадзора вынесло постановление о штрафе в отношении разработчика голосовых ассистентов «КвантМайнд». Регулятор установил, что рекламные материалы обещали «100% точность распознавания речи», хотя внутренние тесты компании показывали существенно более низкие показатели. Штраф составил 800 тысяч рублей, компании предписано убрать спорные формулировки из рекламных материалов в течение 10 дней. В компании заявили, что уже готовят исправленную версию промо-страницы.;надзорная санкция и юридический риск;p2;negative;Юристы;Сверить наши рекламные формулировки на предмет аналогичных рисков;Штраф Роспотребнадзора за недостоверную рекламу;
1;Смартфактор;Санкт-Петербург;2026-06-02;Коммерсантъ;https://www.kommersant.ru/news/fas-vozbudila-delo-protiv-1;ФАС возбудила дело против «Смартфактор» по подозрению в демпинге на тендере;Федеральная антимонопольная служба начала проверку по жалобе участников тендера на автоматизацию контакт-центра одного из региональных операторов связи. По версии заявителей, «Смартфактор» подала заявку с ценой на треть ниже себестоимости, чтобы вытеснить конкурентов. Ведомство запросило у компании расчёт себестоимости проекта и внутреннюю документацию по ценообразованию. Решение по делу ожидается в течение двух месяцев.;надзорная санкция и юридический риск;p1;negative;Юристы;Оценить последствия дела ФАС для наших тендерных заявок;Дело ФАС о демпинге на тендере;
2;ЛогикАрхив;Новосибирск;2026-06-03;Ведомости;https://www.vedomosti.ru/news/sud-obyazal-logikarhiv-vyplatit-2;Суд обязал «ЛогикАрхив» выплатить компенсацию за нарушение условий лицензии на датасет;Арбитражный суд удовлетворил иск издательского дома к разработчику «ЛогикАрхив» о неправомерном использовании архива статей для обучения генеративной модели. Суд обязал ответчика выплатить 22 млн рублей компенсации и удалить спорные материалы из обучающего корпуса. Компании также предписано подтвердить факт удаления независимым аудитом в течение месяца. Решение вступит в силу, если не будет обжаловано в апелляции.;надзорная санкция и юридический риск;p1;negative;Юристы;Проверить лицензионную чистоту наших обучающих датасетов;Прецедент по компенсации за нелицензионный датасет;
3;Октагон Дата;Екатеринбург;2026-06-04;Интерфакс;https://www.interfax.ru/news/prokuratura-proveryaet-oktagon-data-3;Прокуратура проверяет «Октагон Дата» после жалоб на утечку данных клиентов;В прокуратуру поступили обращения пользователей сервиса аналитики «Октагон Дата» с жалобами на появление их персональных данных в открытом доступе. Проверяющие запросили у компании логи доступа к базе данных и внутренние регламенты информационной безопасности. По предварительным данным, утечка могла произойти через тестовый контур, который не был должным образом изолирован от продакшена. Итоги проверки станут известны после завершения экспертизы.;надзорная санкция и юридический риск;p1;negative;Юристы;Сверить процедуры реагирования на утечки с нашими регламентами;Прокурорская проверка по утечке данных клиентов;
4;Праймтех;Казань;2026-06-05;TAdviser;https://www.tadviser.ru/news/praimteh-vnesen-v-reestr-4;«Праймтех» внесён в реестр нарушителей за неисполнение требований по локализации данных;Роскомнадзор включил разработчика CRM-решений с элементами ИИ «Праймтех» в реестр организаций, нарушивших требования о хранении персональных данных россиян на территории страны. Проверка показала, что часть данных клиентов дублировалась на зарубежном сервере для целей резервного копирования. Компании выдано предписание перенести резервные копии на территорию РФ в течение 30 дней. Юристы компании сообщили, что уже начали миграцию инфраструктуры.;надзорная санкция и юридический риск;p2;negative;Юристы;Проверить географию хранения наших данных на соответствие 152-ФЗ;Реестр нарушителей РКН по локализации данных;
5;ВиральТех;Нижний Новгород;2026-06-06;CNews;https://www.cnews.ru/news/sotrudniki-viralteh-pozhalovalis-na-5;Сотрудники «ВиральТех» пожаловались на переработки и токсичную атмосферу;На популярной площадке отзывов о работодателях появилась серия постов бывших сотрудников разработчика рекламных ИИ-инструментов «ВиральТех». Авторы описывают систематические переработки без компенсации и практику публичной критики сотрудников на общих созвонах. Публикации набрали несколько тысяч репостов и попали в подборки профильных телеграм-каналов об HR-практиках в ИТ. Пресс-служба компании от комментариев пока воздержалась.;репутационный риск;p2;negative;PR;Мониторить настроения на площадках отзывов о работодателях;Публичные жалобы сотрудников на условия труда;
6;Инсайт Диджитал;Самара;2026-06-07;Хабр;https://habr.com/news/utechka-perepiski-insait-didzhital-6;Утечка переписки «Инсайт Диджитал» показала обсуждение манипуляций с рейтингами;В открытый доступ попал фрагмент внутренней переписки сотрудников платформы бизнес-аналитики «Инсайт Диджитал», в котором обсуждается закупка накрутки положительных отзывов на агрегаторах. Скриншоты разошлись в профильных чатах и вызвали волну обсуждений о честности рейтингов в отрасли. Несколько партнёров компании заявили, что запросят официальные разъяснения. Компания пока не подтвердила и не опровергла подлинность переписки.;репутационный риск;p1;negative;PR;Подготовить комментарий на случай вопросов о честности наших рейтингов;Утечка переписки о манипуляциях с отзывами;
7;СемантикХаб;Томск;2026-06-08;vc.ru;https://vc.ru/news/klienty-semantikhab-pozhalovalis-na-7;Клиенты «СемантикХаб» пожаловались на игнорирование обращений по сбоям биллинга;В отраслевом чате поддержки клиенты сервиса автоматизации документооборота «СемантикХаб» сообщили о повторяющихся ошибках двойного списания средств. По словам заявителей, обращения в поддержку неделями остаются без ответа, а публичный статус инцидента на сайте компании не обновлялся почти месяц. Несколько пользователей объявили о намерении перейти на альтернативные решения. Компания пообещала опубликовать разбор инцидента позже на этой неделе.;репутационный риск;p2;negative;PR;Подготовить комментарий на случай вопросов о качестве нашей биллинг-поддержки;Клиенты жалуются на биллинг и игнор обращений в поддержку;
8;ГенерацияПлюс;Иннополис;2026-06-09;Forbes;https://www.forbes.ru/news/model-generaciyaplyus-vydala-oskorbitelnyi-8;Модель «ГенерацияПлюс» выдала оскорбительный ответ пользователю, скриншот разошёлся в сети;Пользователь чат-бота для подбора персонала от «ГенерацияПлюс» опубликовал скриншот с некорректным и уничижительным ответом системы на нейтральный вопрос о вакансии. Публикация быстро разошлась в тематических телеграм-каналах, где обсуждают этичность ИИ-инструментов в найме. Компания подтвердила инцидент и сообщила, что временно ограничила работу модуля для доработки фильтров. Специалисты по этике ИИ отметили случай как пример недостаточного тестирования перед релизом.;репутационный риск;p2;negative;PR;Прогнать наши модерационные фильтры по аналогичному сценарию;Инцидент с некорректным ответом модели в найме;
9;НейроСфера;Красноярск;2026-06-10;ComNews;https://www.comnews.ru/news/byvshii-partner-obvinil-neirosfera-9;Бывший партнёр обвинил «НейроСфера» в присвоении совместной разработки;Основатель небольшой ИТ-студии публично заявил, что алгоритм распознавания образов, представленный «НейроСфера» как собственная разработка, был создан в рамках совместного проекта без указания соавторства. Заявление сопровождается перепиской и черновиками технической документации. Юристы студии готовят претензию о нарушении интеллектуальных прав. Представители «НейроСфера» назвали обвинения необоснованными и пообещали публичный ответ.;репутационный риск;p2;negative;PR;Мониторить развитие конфликта, публичный комментарий не требуется;Публичное обвинение в присвоении совместной разработки;
10;Кодариум;Пермь;2026-06-11;D-Russia;https://d-russia.ru/news/kodarium-predstavil-novuyu-versiyu-10;«Кодариум» представил новую версию платформы на профильной конференции;На отраслевой конференции по разработке ИИ-решений компания «Кодариум» показала обновлённую версию платформы для автоматизации клиентской поддержки. В презентации особое внимание уделили новому модулю аналитики диалогов и интеграции с популярными CRM-системами. Компания также анонсировала пилотное партнёрство с одним из региональных банков. Демонстрация собрала полный зал и попала в отчёты профильных изданий с конференции.;PR-активность конкурента;p3;positive;PR;;Демонстрация обновлённой платформы на профильной конференции;
11;МодельОн;Уфа;2026-06-12;Rusbase;https://rb.ru/news/modelon-obyavila-o-rebrendinge-11;«МодельОн» объявила о ребрендинге перед выходом на международный рынок;Разработчик платформы прогнозной аналитики «МодельОн» представил новое название и визуальную айдентику в рамках подготовки к запуску продаж за пределами России. Компания сообщила, что обновление сопровождается редизайном сайта и обновлением линейки тарифов. Ребрендинг приурочен к участию в крупной международной выставке технологий следующей осенью. Маркетинговая команда компании назвала это «новым этапом развития бренда».;PR-активность конкурента;p2;positive;PR;Оценить угрозу выхода конкурента на зарубежные рынки;Ребрендинг перед выходом на международный рынок;
