id;заголовок;текст новости;категория новости
1;Роспотребнадзор оштрафовал «КвантМайнд» за недостоверную рекламу чат-бота;Территориальное управление Роспотребнадзора вынесло постановление о штрафе в отношении разработчика голосовых ассистентов «КвантМайнд». Регулятор установил, что рекламные материалы обещали «100% точность распознавания речи», хотя внутренние тесты компании показывали существенно более низкие показатели. Штраф составил 800 тысяч рублей, компании предписано убрать спорные формулировки из рекламных материалов в течение 10 дней. В компании заявили, что уже готовят исправленную версию промо-страницы.;надзорная санкция и юридический риск
2;ФАС возбудила дело против «Смартфактор» по подозрению в демпинге на тендере;Федеральная антимонопольная служба начала проверку по жалобе участников тендера на автоматизацию контакт-центра одного из региональных операторов связи. По версии заявителей, «Смартфактор» подала заявку с ценой на треть ниже себестоимости, чтобы вытеснить конкурентов. Ведомство запросило у компании расчёт себестоимости проекта и внутреннюю документацию по ценообразованию. Решение по делу ожидается в течение двух месяцев.;надзорная санкция и юридический риск
3;Суд обязал «ЛогикАрхив» выплатить компенсацию за нарушение условий лицензии на датасет;Арбитражный суд удовлетворил иск издательского дома к разработчику «ЛогикАрхив» о неправомерном использовании архива статей для обучения генеративной модели. Суд обязал ответчика выплатить 22 млн рублей компенсации и удалить спорные материалы из обучающего корпуса. Компании также предписано подтвердить факт удаления независимым аудитом в течение месяца. Решение вступит в силу, если не будет обжаловано в апелляции.;надзорная санкция и юридический риск
4;Прокуратура проверяет «Октагон Дата» после жалоб на утечку данных клиентов;В прокуратуру поступили обращения пользователей сервиса аналитики «Октагон Дата» с жалобами на появление их персональных данных в открытом доступе. Проверяющие запросили у компании логи доступа к базе данных и внутренние регламенты информационной безопасности. По предварительным данным, утечка могла произойти через тестовый контур, который не был должным образом изолирован от продакшена. Итоги проверки станут известны после завершения экспертизы.;надзорная санкция и юридический риск
5;«Праймтех» внесён в реестр нарушителей за неисполнение требований по локализации данных;Роскомнадзор включил разработчика CRM-решений с элементами ИИ «Праймтех» в реестр организаций, нарушивших требования о хранении персональных данных россиян на территории страны. Проверка показала, что часть данных клиентов дублировалась на зарубежном сервере для целей резервного копирования. Компании выдано предписание перенести резервные копии на территорию РФ в течение 30 дней. Юристы компании сообщили, что уже начали миграцию инфраструктуры.;надзорная санкция и юридический риск
6;Сотрудники «ВиральТех» пожаловались на переработки и токсичную атмосферу;На популярной площадке отзывов о работодателях появилась серия постов бывших сотрудников разработчика рекламных ИИ-инструментов «ВиральТех». Авторы описывают систематические переработки без компенсации и практику публичной критики сотрудников на общих созвонах. Публикации набрали несколько тысяч репостов и попали в подборки профильных телеграм-каналов об HR-практиках в ИТ. Пресс-служба компании от комментариев пока воздержалась.;репутационный риск
7;Утечка переписки «Инсайт Диджитал» показала обсуждение манипуляций с рейтингами;В открытый доступ попал фрагмент внутренней переписки сотрудников платформы бизнес-аналитики «Инсайт Диджитал», в котором обсуждается закупка накрутки положительных отзывов на агрегаторах. Скриншоты разошлись в профильных чатах и вызвали волну обсуждений о честности рейтингов в отрасли. Несколько партнёров компании заявили, что запросят официальные разъяснения. Компания пока не подтвердила и не опровергла подлинность переписки.;репутационный риск
8;Клиенты «СемантикХаб» пожаловались на игнорирование обращений по сбоям биллинга;В отраслевом чате поддержки клиенты сервиса автоматизации документооборота «СемантикХаб» сообщили о повторяющихся ошибках двойного списания средств. По словам заявителей, обращения в поддержку неделями остаются без ответа, а публичный статус инцидента на сайте компании не обновлялся почти месяц. Несколько пользователей объявили о намерении перейти на альтернативные решения. Компания пообещала опубликовать разбор инцидента позже на этой неделе.;репутационный риск
9;Модель «ГенерацияПлюс» выдала оскорбительный ответ пользователю, скриншот разошёлся в сети;Пользователь чат-бота для подбора персонала от «ГенерацияПлюс» опубликовал скриншот с некорректным и уничижительным ответом системы на нейтральный вопрос о вакансии. Публикация быстро разошлась в тематических телеграм-каналах, где обсуждают этичность ИИ-инструментов в найме. Компания подтвердила инцидент и сообщила, что временно ограничила работу модуля для доработки фильтров. Специалисты по этике ИИ отметили случай как пример недостаточного тестирования перед релизом.;репутационный риск
10;Бывший партнёр обвинил «НейроСфера» в присвоении совместной разработки;Основатель небольшой ИТ-студии публично заявил, что алгоритм распознавания образов, представленный «НейроСфера» как собственная разработка, был создан в рамках совместного проекта без указания соавторства. Заявление сопровождается перепиской и черновиками технической документации. Юристы студии готовят претензию о нарушении интеллектуальных прав. Представители «НейроСфера» назвали обвинения необоснованными и пообещали публичный ответ.;репутационный риск
11;«Кодариум» представил новую версию платформы на профильной конференции;На отраслевой конференции по разработке ИИ-решений компания «Кодариум» показала обновлённую версию платформы для автоматизации клиентской поддержки. В презентации особое внимание уделили новому модулю аналитики диалогов и интеграции с популярными CRM-системами. Компания также анонсировала пилотное партнёрство с одним из региональных банков. Демонстрация собрала полный зал и попала в отчёты профильных изданий с конференции.;PR-активность конкурента
12;«МодельОн» объявила о ребрендинге перед выходом на международный рынок;Разработчик платформы прогнозной аналитики «МодельОн» представил новое название и визуальную айдентику в рамках подготовки к запуску продаж за пределами России. Компания сообщила, что обновление сопровождается редизайном сайта и обновлением линейки тарифов. Ребрендинг приурочен к участию в крупной международной выставке технологий следующей осенью. Маркетинговая команда компании назвала это «новым этапом развития бренда».;PR-активность конкурента
13;«СтратоЛогика» выпустила открытый отчёт о трендах рынка генеративных моделей;Аналитический отдел компании «СтратоЛогика» опубликовал исследование с прогнозом развития рынка генеративных ИИ-решений на ближайшие три года. Отчёт включает данные опроса нескольких сотен ИТ-директоров и обзор регуляторных инициатив. Материал получил цитирование в нескольких деловых изданиях и профильных дайджестах. Компания планирует сделать публикацию подобных отчётов регулярной практикой.;PR-активность конкурента
14;«Праймтех» запустила образовательную программу для разработчиков;Компания «Праймтех» объявила о старте бесплатного образовательного курса по разработке ИИ-агентов для сотрудников небольших ИТ-компаний и студентов профильных вузов. Первый поток набрал более пятисот заявок за первую неделю регистрации. Программа включает практические задания на реальных кейсах компании и сертификат по итогам обучения. Инициативу поддержали несколько отраслевых образовательных платформ, разместивших анонс на своих ресурсах.;PR-активность конкурента
15;«Вертикаль ИИ» стала генеральным спонсором отраслевой премии;Компания «Вертикаль ИИ» выступила генеральным спонсором ежегодной премии в области искусственного интеллекта, вручаемой на крупном отраслевом форуме. В рамках спонсорского пакета компания разместила стенд с демонстрацией продуктов и провела серию коротких докладов для участников. Организаторы отметили вклад компании в развитие мероприятия в официальном пресс-релизе. Логотип «Вертикаль ИИ» появился на всех промо-материалах премии этого года.;PR-активность конкурента
16;Крупный сбой платформы «Синтеза Групп» оставил клиентов без сервиса на сутки;Платформа автоматизации маркетинга «Синтеза Групп» столкнулась с масштабным сбоем инфраструктуры, из-за которого клиенты более суток не могли получить доступ к личным кабинетам. В компании сообщили, что причиной стала ошибка при обновлении балансировщика нагрузки на основном дата-центре. Несколько крупных клиентов публично пожаловались на простой в социальных сетях и потребовали компенсацию. Полное восстановление сервиса заняло больше 30 часов.;системная проблема (возможность для входа)
17;Массовый уход разработчиков из «Октагон Дата» в конкурирующую компанию;По данным профильных телеграм-каналов, из инженерной команды сервиса аналитики «Октагон Дата» за последний месяц уволились более десяти специалистов, включая двух тимлидов. Источники связывают уход сотрудников с задержками выплаты премий и заморозкой части проектов. Часть команды, по имеющимся сведениям, перешла в один и тот же конкурирующий продукт. Компания официально не комментирует кадровые изменения.;системная проблема (возможность для входа)
